latitude,longitude,zpid,City,streetaddress,zipcode,hometype,bathrooms,bedrooms,livingarea,yearbuilt,lotsize,listingstatus,pricevalue,pricepersquirefoot,zestimate,rentzestimate
37.357574,-121.82355,19723496,San Jose,13861 Highwood Dr,95127,singleFamily,1.0,3.0,1024.0,1953.0,6975.0,forSale,899999,879.0,,4437.0
37.208942,-121.83521,19836705,San Jose,7106 Brooktree Way,95120,singleFamily,2.0,4.0,2167.0,1975.0,7150.0,forSale,2388000,1102.0,2339900.0,5068.0
37.32125,-121.842865,19715338,San Jose,1969 McLaughlin Ave,95122,singleFamily,2.0,3.0,1238.0,1965.0,5974.0,forSale,799000,645.0,812200.0,3965.0
37.276073,-121.820885,19813718,San Jose,383 River View Dr,95111,singleFamily,2.0,3.0,1140.0,1960.0,0.4337465564738292,forSale,999888,877.0,992700.0,3924.0
37.362877,-121.8407,19721718,San Jose,73 Alexander Ct,95116,singleFamily,2.0,4.0,1464.0,1947.0,7506.0,forSale,999000,682.0,1002100.0,4295.0
37.295563,-121.86469,64617241,San Jose,347 Bella Ridge Ter,95125,singleFamily,4.0,4.0,1787.0,2004.0,1546.0,forSale,998000,558.0,991400.0,4720.0
37.35201,-121.81054,19786312,San Jose,1452 Lochner Dr,95127,singleFamily,2.0,3.0,1000.0,1958.0,5450.0,forSale,899000,899.0,970400.0,4251.0
37.242867,-121.77709,19810671,San Jose,5961 S Surf Ct,95138,singleFamily,3.0,4.0,1521.0,1984.0,4495.0,forSale,1325000,871.0,1311900.0,4594.0
37.341347,-121.85787,19712606,San Jose,1198 Spiro Dr,95116,singleFamily,2.0,3.0,1101.0,1979.0,4356.0,forSale,849000,771.0,930000.0,3618.0
37.387596,-121.81319,19783673,San Jose,10955 Edgemont Dr,95127,singleFamily,3.0,2.0,1760.0,1974.0,7650.0,forSale,1298000,738.0,1282300.0,3892.0
37.242718,-121.8282,19821649,San Jose,444 Roading Dr,95123,singleFamily,2.0,4.0,1342.0,1968.0,5974.0,forSale,1275000,950.0,1268900.0,4299.0
37.217793,-121.881035,19761676,San Jose,6629 Barnsdale Ct,95120,singleFamily,3.0,4.0,2289.0,1979.0,7106.0,forSale,2358000,1030.0,2307600.0,5906.0
37.416733,-121.96266,459973651,San Jose,498 Summerland Dr,95134,manufactured,2.0,3.0,1410.0,2025.0,,forSale,259000,184.0,256400.0,
37.34843,-121.83674,19719422,San Jose,2207 Pacina Dr,95116,singleFamily,3.0,5.0,1561.0,1961.0,5500.0,forSale,888000,569.0,883200.0,3367.0
37.370937,-121.81168,19782605,San Jose,14705 E Hills Dr,95127,singleFamily,2.0,3.0,1352.0,1960.0,6888.0,forSale,999000,739.0,,4018.0
37.23911,-121.84705,19819432,San Jose,779 Vereda Ct,95123,singleFamily,3.0,5.0,2132.0,1967.0,9646.0,forSale,1598888,750.0,1574800.0,5546.0
37.329372,-121.874275,19713558,San Jose,396 Margaret St,95112,singleFamily,2.0,2.0,1115.0,1907.0,3105.0,forSale,799000,717.0,789400.0,2925.0
37.272465,-121.81092,19816836,San Jose,420 Via Primavera Dr,95111,singleFamily,3.0,3.0,1678.0,1986.0,2493.0,forSale,1098000,654.0,1077500.0,4234.0
37.35997,-121.88851,19567276,San Jose,884 N 15th St,95112,singleFamily,2.0,3.0,1059.0,1941.0,5375.0,forSale,988888,934.0,971700.0,3476.0
37.32526,-121.92119,19582274,San Jose,1660 Hanchett Ave,95128,singleFamily,3.0,3.0,2655.0,1939.0,7952.0,forSale,2300000,866.0,2753500.0,6555.0
37.310364,-121.76862,19796539,San Jose,4142 Littleworth Way,95135,singleFamily,3.0,5.0,2705.0,1988.0,7995.0,forSale,2438000,901.0,2391400.0,5455.0
37.25435,-121.8481,19708909,San Jose,5510 Dunsburry Way,95123,singleFamily,2.0,3.0,1400.0,1976.0,7000.0,forSale,1699999,1214.0,1669000.0,4290.0
37.29537,-121.8934,19682306,San Jose,1549 Keesling Ave,95125,singleFamily,6.0,5.0,4396.0,2019.0,0.30303030303030304,forSale,3288000,748.0,3224200.0,7965.0
37.35181,-121.895996,19567019,San Jose,716 N 5th St,95112,singleFamily,5.0,6.0,3303.0,1927.0,6534.0,forSale,2095000,634.0,2000600.0,6435.0
37.19987,-121.84661,19768461,San Jose,1134 Falcon Ridge Ct,95120,singleFamily,4.0,5.0,3292.0,1998.0,10253.0,forSale,3388000,1029.0,3288800.0,7161.0
37.248367,-121.88566,19760220,San Jose,1292 Foxwood Way,95118,singleFamily,3.0,3.0,1480.0,1985.0,2153.0,forSale,1249000,844.0,1232500.0,3788.0
37.337376,-121.8598,19712483,San Jose,757 Melannie Ct,95116,singleFamily,2.0,4.0,1354.0,1954.0,6000.0,forSale,1188600,878.0,1168600.0,4329.0
37.267445,-121.86136,19702988,San Jose,679 Faraone Dr,95136,singleFamily,2.0,3.0,1747.0,1971.0,6000.0,forSale,1449888,830.0,1432200.0,4886.0
37.37401,-121.81063,19784482,San Jose,14920 E Hills Dr,95127,singleFamily,4.0,5.0,2691.0,1960.0,9750.0,forSale,1688000,627.0,1660900.0,5223.0
37.314896,-121.966774,19606287,San Jose,680 Blackford Ct,95117,townhome,2.0,2.0,926.0,1984.0,899.0,forSale,680000,734.0,,3141.0
37.271324,-121.91962,19690707,San Jose,2788 Lexford Ave,95124,singleFamily,2.0,3.0,1176.0,1956.0,6300.0,forSale,1399888,1190.0,,4335.0
37.354736,-121.81434,19785606,San Jose,10230 Griffith St,95127,singleFamily,2.0,4.0,1438.0,1954.0,5700.0,forSale,1288000,896.0,1265800.0,4378.0
37.29895,-121.96365,2100723839,San Jose,1385 San Tomas Aquino Pkwy,95130,multiFamily,4.0,8.0,2764.0,1960.0,6755.0,forSale,1750000,633.0,,2749.0
37.31464,-121.89243,19578206,San Jose,1003 Spencer Ave,95125,singleFamily,2.0,3.0,996.0,1986.0,5520.0,forSale,1288000,1293.0,1275900.0,3889.0
